OF_id,fornecedor,data_emissao,prazo_entrega,data_entrega_real,valor,categoria,dias_prazo,dias_para_vencer,dias_entrega_real,valor_log,atraso,taxa_atraso_fornecedor,total_of_fornecedor,valor_medio_fornecedor
1,Fornecedor_3,2023-02-07,2023-02-21,2023-02-19,17848.33,Medicamentos,14,-1194,12,9.789721251489324,0,0.24444444444444444,45,23814.126444444442
2,Fornecedor_1,2023-08-24,2023-09-02,2023-09-01,45541.23,Equipamentos,9,-1001,8,10.726395306359112,0,0.39215686274509803,51,26938.735098039215
3,Fornecedor_18,2023-03-14,2023-03-27,2023-04-01,19628.34,Tecnologia,13,-1160,18,9.884780664698143,1,0.3409090909090909,44,23445.405000000002
4,Fornecedor_5,2023-09-13,2023-10-06,2023-10-09,34143.04,Insumos,23,-967,26,10.438343325609697,1,0.41304347826086957,46,26724.331521739132
5,Fornecedor_1,2023-07-23,2023-08-07,2023-08-06,42949.85,Medicamentos,15,-1027,14,10.66781171767059,0,0.39215686274509803,51,26938.735098039215
6,Fornecedor_19,2023-05-14,2023-05-22,2023-05-21,34779.53,Equipamentos,8,-1104,7,10.456813026435066,0,0.3793103448275862,58,30085.888275862068
7,Fornecedor_1,2023-12-02,2023-12-21,2023-12-21,9905.22,Insumos,19,-891,19,9.200918121663939,0,0.39215686274509803,51,26938.735098039215
8,Fornecedor_20,2023-05-25,2023-06-10,2023-06-08,37613.1,Equipamentos,16,-1085,14,10.535134259083058,0,0.3220338983050847,59,21740.94559322034
9,Fornecedor_9,2023-05-10,2023-05-24,2023-05-25,3615.62,Insumos,14,-1102,15,8.193295166991442,1,0.22727272727272727,44,26572.065454545453
10,Fornecedor_8,2023-03-13,2023-03-28,2023-03-26,38728.83,Equipamentos,15,-1159,13,10.564365383136913,0,0.3269230769230769,52,28221.404230769233
11,Fornecedor_17,2023-08-26,2023-09-02,2023-09-02,40950.44,Insumos,7,-1001,7,10.620142253498113,0,0.37037037037037035,54,25592.20962962963
12,Fornecedor_6,2023-10-09,2023-10-25,2023-10-24,6188.12,Insumos,16,-948,15,8.730548190790365,0,0.28888888888888886,45,26625.86022222222
13,Fornecedor_14,2023-06-28,2023-07-19,2023-07-18,44995.0,Insumos,21,-1046,20,10.714328875912717,0,0.3404255319148936,47,27536.185319148935
14,Fornecedor_5,2023-10-04,2023-10-22,2023-10-21,34496.86,Equipamentos,18,-951,17,10.448652572110067,0,0.41304347826086957,46,26724.331521739132
15,Fornecedor_8,2023-09-12,2023-09-27,2023-09-27,31083.03,Equipamentos,15,-976,15,10.34444946145542,0,0.3269230769230769,52,28221.404230769233
16,Fornecedor_10,2023-12-24,2024-01-01,2024-01-06,48648.6,Insumos,8,-880,13,10.792398865586517,1,0.34545454545454546,55,25275.839636363635
17,Fornecedor_20,2023-09-10,2023-09-26,2023-09-28,33537.94,Equipamentos,16,-977,18,10.420462430822921,1,0.3220338983050847,59,21740.94559322034
18,Fornecedor_5,2023-06-06,2023-06-21,2023-06-26,19489.54,Equipamentos,15,-1074,20,9.87768449863395,1,0.41304347826086957,46,26724.331521739132
19,Fornecedor_11,2023-02-20,2023-02-27,2023-02-27,24402.36,Medicamentos,7,-1188,7,10.102476106718875,0,0.125,48,25942.747083333335
20,Fornecedor_20,2023-03-10,2023-03-27,2023-03-25,10122.28,Insumos,17,-1160,15,9.222593001000876,0,0.3220338983050847,59,21740.94559322034
21,Fornecedor_12,2023-08-04,2023-08-19,2023-08-19,17527.0,Tecnologia,15,-1015,15,9.771554881275302,0,0.20512820512820512,39,27436.36
22,Fornecedor_19,2023-08-30,2023-09-22,2023-09-27,46523.89,Tecnologia,23,-981,28,10.747742717187398,1,0.3793103448275862,58,30085.888275862068
23,Fornecedor_13,2023-12-19,2024-01-01,2023-12-31,31704.56,Equipamentos,13,-880,12,10.364247338807353,0,0.2786885245901639,61,27560.733770491803
24,Fornecedor_17,2023-03-28,2023-04-02,2023-04-06,13350.54,Tecnologia,5,-1154,9,9.49938701298067,1,0.37037037037037035,54,25592.20962962963
25,Fornecedor_13,2023-05-22,2023-06-09,2023-06-13,35235.89,Equipamentos,18,-1086,22,10.4698488241693,1,0.2786885245901639,61,27560.733770491803
26,Fornecedor_3,2023-01-08,2023-01-31,2023-01-31,15708.09,Insumos,23,-1215,23,9.66199480468335,0,0.24444444444444444,45,23814.126444444442
27,Fornecedor_1,2023-11-16,2023-11-27,2023-11-27,33306.52,Medicamentos,11,-915,11,10.413538476299546,0,0.39215686274509803,51,26938.735098039215
28,Fornecedor_4,2023-11-14,2023-11-30,2023-12-02,17799.01,Medicamentos,16,-912,18,9.786954298077772,1,0.32,50,24059.582799999996
29,Fornecedor_15,2023-01-23,2023-02-16,2023-02-17,8699.97,Equipamentos,24,-1199,25,9.071189792680526,1,0.34615384615384615,52,27936.5375
30,Fornecedor_1,2023-11-10,2023-11-27,2023-11-25,46758.13,Equipamentos,17,-915,15,10.752764809767067,0,0.39215686274509803,51,26938.735098039215
31,Fornecedor_18,2023-01-02,2023-01-11,2023-01-16,14390.22,Tecnologia,9,-1235,14,9.574373577385684,1,0.3409090909090909,44,23445.405000000002
32,Fornecedor_7,2023-11-13,2023-12-01,2023-11-30,31683.82,Equipamentos,18,-911,17,10.36359298081991,0,0.3269230769230769,52,26954.52903846154
33,Fornecedor_19,2023-07-29,2023-08-11,2023-08-12,47092.11,Medicamentos,13,-1023,14,10.759881984802826,1,0.3793103448275862,58,30085.888275862068
34,Fornecedor_11,2023-09-22,2023-09-30,2023-09-30,27559.57,Equipamentos,8,-973,8,10.224141407061763,0,0.125,48,25942.747083333335
35,Fornecedor_3,2023-08-05,2023-08-15,2023-08-14,13526.48,Equipamentos,10,-1019,9,9.512478451046013,0,0.24444444444444444,45,23814.126444444442
36,Fornecedor_5,2023-05-22,2023-05-29,2023-06-02,32224.73,Equipamentos,7,-1097,11,10.380520480770357,1,0.41304347826086957,46,26724.331521739132
37,Fornecedor_18,2023-04-26,2023-05-01,2023-04-30,39358.44,Equipamentos,5,-1125,4,10.5804911234227,0,0.3409090909090909,44,23445.405000000002
38,Fornecedor_17,2023-05-02,2023-05-14,2023-05-14,31060.26,Medicamentos,12,-1112,12,10.343716662525077,0,0.37037037037037035,54,25592.20962962963
39,Fornecedor_17,2023-01-31,2023-02-13,2023-02-19,40350.7,Medicamentos,13,-1202,19,10.605388804161276,1,0.37037037037037035,54,25592.20962962963
40,Fornecedor_20,2023-03-13,2023-03-19,2023-03-18,2570.78,Equipamentos,6,-1168,5,7.852353545151617,0,0.3220338983050847,59,21740.94559322034
41,Fornecedor_3,2023-02-19,2023-02-28,2023-02-26,31717.74,Insumos,9,-1187,7,10.364662952387313,0,0.24444444444444444,45,23814.126444444442
42,Fornecedor_6,2023-11-10,2023-11-21,2023-11-20,19754.11,Medicamentos,11,-921,10,9.891167471040568,0,0.28888888888888886,45,26625.86022222222
43,Fornecedor_10,2023-01-04,2023-01-10,2023-01-10,13974.19,Tecnologia,6,-1236,6,9.545038893637498,0,0.34545454545454546,55,25275.839636363635
44,Fornecedor_14,2023-10-08,2023-10-22,2023-10-24,14010.12,Medicamentos,14,-951,16,9.547606579033719,1,0.3404255319148936,47,27536.185319148935
45,Fornecedor_13,2023-02-13,2023-02-21,2023-02-27,26921.55,Tecnologia,8,-1194,14,10.200719504383965,1,0.2786885245901639,61,27560.733770491803
46,Fornecedor_8,2023-03-18,2023-04-06,2023-04-12,25397.33,Insumos,19,-1150,25,10.142438702813635,1,0.3269230769230769,52,28221.404230769233
47,Fornecedor_5,2023-01-27,2023-02-04,2023-02-02,31722.24,Insumos,8,-1211,6,10.364804814290347,0,0.41304347826086957,46,26724.331521739132
48,Fornecedor_8,2023-11-05,2023-11-29,2023-11-27,11513.08,Insumos,24,-913,22,9.351325913274845,0,0.3269230769230769,52,28221.404230769233
49,Fornecedor_10,2023-12-03,2023-12-21,2023-12-22,27698.28,Tecnologia,18,-891,19,10.229161699057828,1,0.34545454545454546,55,25275.839636363635
50,Fornecedor_19,2023-04-20,2023-05-14,2023-05-13,32252.78,Insumos,24,-1112,23,10.381390524657771,0,0.3793103448275862,58,30085.888275862068
51,Fornecedor_14,2023-10-25,2023-11-03,2023-11-01,36706.76,Equipamentos,9,-939,7,10.51074345583319,0,0.3404255319148936,47,27536.185319148935
52,Fornecedor_18,2023-01-16,2023-02-05,2023-02-10,36708.48,Equipamentos,20,-1210,25,10.510790311312919,1,0.3409090909090909,44,23445.405000000002
53,Fornecedor_14,2023-03-06,2023-03-22,2023-03-21,25212.41,Insumos,16,-1165,15,10.135131274818857,0,0.3404255319148936,47,27536.185319148935
54,Fornecedor_6,2023-07-16,2023-07-25,2023-07-28,21030.21,Equipamentos,9,-1040,12,9.95376280389368,1,0.28888888888888886,45,26625.86022222222
55,Fornecedor_15,2023-01-26,2023-02-12,2023-02-10,5349.73,Medicamentos,17,-1203,15,8.58498827917992,0,0.34615384615384615,52,27936.5375
56,Fornecedor_11,2023-08-15,2023-08-26,2023-08-26,20976.82,Tecnologia,11,-1008,11,9.951220968067156,0,0.125,48,25942.747083333335
57,Fornecedor_10,2023-10-10,2023-11-03,2023-11-07,26763.06,Tecnologia,24,-939,28,10.194815221717562,1,0.34545454545454546,55,25275.839636363635
58,Fornecedor_2,2023-06-03,2023-06-24,2023-06-24,12588.52,Medicamentos,21,-1071,21,9.440620000815171,0,0.23255813953488372,43,24466.852790697674
59,Fornecedor_4,2023-04-15,2023-05-05,2023-05-04,18058.07,Tecnologia,20,-1121,19,9.801403330628451,0,0.32,50,24059.582799999996
60,Fornecedor_8,2023-01-23,2023-02-01,2023-01-31,7098.91,Tecnologia,9,-1214,8,8.867837386892727,0,0.3269230769230769,52,28221.404230769233
61,Fornecedor_8,2023-09-23,2023-10-08,2023-10-06,46893.62,Tecnologia,15,-965,13,10.75565823570091,0,0.3269230769230769,52,28221.404230769233
62,Fornecedor_10,2023-07-15,2023-07-26,2023-07-24,48697.64,Equipamentos,11,-1039,9,10.793406382602711,0,0.34545454545454546,55,25275.839636363635
63,Fornecedor_14,2023-05-07,2023-05-16,2023-05-22,36765.42,Equipamentos,9,-1110,15,10.512340207575457,1,0.3404255319148936,47,27536.185319148935
64,Fornecedor_1,2023-10-07,2023-10-15,2023-10-19,28498.68,Insumos,8,-958,12,10.257648138123532,1,0.39215686274509803,51,26938.735098039215
65,Fornecedor_17,2023-12-23,2023-12-28,2023-12-30,29507.56,Tecnologia,5,-884,7,10.292435669728413,1,0.37037037037037035,54,25592.20962962963
66,Fornecedor_14,2023-06-05,2023-06-16,2023-06-14,22194.23,Medicamentos,11,-1079,9,10.007632679908744,0,0.3404255319148936,47,27536.185319148935
67,Fornecedor_14,2023-11-10,2023-12-03,2023-12-03,47769.19,Insumos,23,-909,23,10.774157083767767,0,0.3404255319148936,47,27536.185319148935
68,Fornecedor_20,2023-03-25,2023-04-08,2023-04-12,19234.35,Tecnologia,14,-1148,18,9.86450501101773,1,0.3220338983050847,59,21740.94559322034
69,Fornecedor_3,2023-06-16,2023-07-09,2023-07-09,36756.07,Equipamentos,23,-1056,23,10.512085867090521,0,0.24444444444444444,45,23814.126444444442
70,Fornecedor_2,2023-05-17,2023-06-07,2023-06-06,44149.89,Insumos,21,-1088,20,10.695368364379322,0,0.23255813953488372,43,24466.852790697674
71,Fornecedor_12,2023-10-16,2023-10-31,2023-10-30,20991.12,Medicamentos,15,-942,14,9.951902408190891,0,0.20512820512820512,39,27436.36
72,Fornecedor_13,2023-09-24,2023-10-16,2023-10-16,12164.96,Insumos,22,-957,22,9.406397167023856,0,0.2786885245901639,61,27560.733770491803
73,Fornecedor_2,2023-10-07,2023-10-30,2023-11-05,33005.0,Equipamentos,23,-943,29,10.404444642103513,1,0.23255813953488372,43,24466.852790697674
74,Fornecedor_17,2023-05-24,2023-05-29,2023-05-28,35932.34,Medicamentos,5,-1097,4,10.489420834317663,0,0.37037037037037035,54,25592.20962962963
75,Fornecedor_6,2023-08-28,2023-09-08,2023-09-14,39504.96,Equipamentos,11,-995,17,10.584206825583003,1,0.28888888888888886,45,26625.86022222222
76,Fornecedor_19,2023-03-29,2023-04-16,2023-04-15,20004.72,Medicamentos,18,-1140,17,9.903773511645925,0,0.3793103448275862,58,30085.888275862068
77,Fornecedor_4,2023-10-09,2023-10-14,2023-10-12,41038.1,Tecnologia,5,-959,3,10.622280549779628,0,0.32,50,24059.582799999996
78,Fornecedor_2,2023-09-01,2023-09-06,2023-09-04,43987.89,Tecnologia,5,-997,3,10.691692381016907,0,0.23255813953488372,43,24466.852790697674
79,Fornecedor_12,2023-12-15,2024-01-07,2024-01-07,45622.79,Equipamentos,23,-874,23,10.72818456998517,0,0.20512820512820512,39,27436.36
80,Fornecedor_19,2023-03-16,2023-03-22,2023-03-21,25968.37,Medicamentos,6,-1165,5,10.164673045602438,0,0.3793103448275862,58,30085.888275862068
81,Fornecedor_4,2023-07-10,2023-07-20,2023-07-18,21377.6,Tecnologia,10,-1045,8,9.97014570067636,0,0.32,50,24059.582799999996
82,Fornecedor_9,2023-10-30,2023-11-17,2023-11-17,2172.04,Tecnologia,18,-925,18,7.683882387818256,0,0.22727272727272727,44,26572.065454545453
83,Fornecedor_13,2023-08-05,2023-08-18,2023-08-17,6861.65,Medicamentos,13,-1016,12,8.833848943502403,0,0.2786885245901639,61,27560.733770491803
84,Fornecedor_6,2023-06-01,2023-06-24,2023-06-22,24442.4,Tecnologia,23,-1071,21,10.104115519812716,0,0.28888888888888886,45,26625.86022222222
85,Fornecedor_9,2023-07-03,2023-07-26,2023-07-28,25517.1,Tecnologia,23,-1039,25,10.147143283276424,1,0.22727272727272727,44,26572.065454545453
86,Fornecedor_16,2023-11-18,2023-11-29,2023-11-29,12674.39,Equipamentos,11,-913,11,9.44741759721679,0,0.2545454545454545,55,23819.375818181816
87,Fornecedor_11,2023-11-30,2023-12-22,2023-12-27,40067.1,Tecnologia,22,-890,27,10.598335785485753,1,0.125,48,25942.747083333335
88,Fornecedor_10,2023-09-17,2023-10-10,2023-10-10,11608.93,Tecnologia,23,-963,23,9.359616045388663,0,0.34545454545454546,55,25275.839636363635
89,Fornecedor_11,2023-09-11,2023-09-22,2023-09-20,38313.12,Insumos,11,-981,9,10.553573775634549,0,0.125,48,25942.747083333335
