OF_id,fornecedor,data_emissao,prazo_entrega,data_entrega_real,valor,categoria
1,Fornecedor_3,2023-02-07,2023-02-21,2023-02-19,17848.33,Medicamentos
2,Fornecedor_1,2023-08-24,2023-09-02,2023-09-01,45541.23,Equipamentos
3,Fornecedor_18,2023-03-14,2023-03-27,2023-04-01,19628.34,Tecnologia
4,Fornecedor_5,2023-09-13,2023-10-06,2023-10-09,34143.04,Insumos
5,Fornecedor_1,2023-07-23,2023-08-07,2023-08-06,42949.85,Medicamentos
6,Fornecedor_19,2023-05-14,2023-05-22,2023-05-21,34779.53,Equipamentos
7,Fornecedor_1,2023-12-02,2023-12-21,2023-12-21,9905.22,Insumos
8,Fornecedor_20,2023-05-25,2023-06-10,2023-06-08,37613.1,Equipamentos
9,Fornecedor_9,2023-05-10,2023-05-24,2023-05-25,3615.62,Insumos
10,Fornecedor_8,2023-03-13,2023-03-28,2023-03-26,38728.83,Equipamentos
11,Fornecedor_17,2023-08-26,2023-09-02,2023-09-02,40950.44,Insumos
12,Fornecedor_6,2023-10-09,2023-10-25,2023-10-24,6188.12,Insumos
13,Fornecedor_14,2023-06-28,2023-07-19,2023-07-18,44995.0,Insumos
14,Fornecedor_5,2023-10-04,2023-10-22,2023-10-21,34496.86,Equipamentos
15,Fornecedor_8,2023-09-12,2023-09-27,2023-09-27,31083.03,Equipamentos
16,Fornecedor_10,2023-12-24,2024-01-01,2024-01-06,48648.6,Insumos
17,Fornecedor_20,2023-09-10,2023-09-26,2023-09-28,33537.94,Equipamentos
18,Fornecedor_5,2023-06-06,2023-06-21,2023-06-26,19489.54,Equipamentos
19,Fornecedor_11,2023-02-20,2023-02-27,2023-02-27,24402.36,Medicamentos
20,Fornecedor_20,2023-03-10,2023-03-27,2023-03-25,10122.28,Insumos
21,Fornecedor_12,2023-08-04,2023-08-19,2023-08-19,17527.0,Tecnologia
22,Fornecedor_19,2023-08-30,2023-09-22,2023-09-27,46523.89,Tecnologia
23,Fornecedor_13,2023-12-19,2024-01-01,2023-12-31,31704.56,Equipamentos
24,Fornecedor_17,2023-03-28,2023-04-02,2023-04-06,13350.54,Tecnologia
25,Fornecedor_13,2023-05-22,2023-06-09,2023-06-13,35235.89,Equipamentos
26,Fornecedor_3,2023-01-08,2023-01-31,2023-01-31,15708.09,Insumos
27,Fornecedor_1,2023-11-16,2023-11-27,2023-11-27,33306.52,Medicamentos
28,Fornecedor_4,2023-11-14,2023-11-30,2023-12-02,17799.01,Medicamentos
29,Fornecedor_15,2023-01-23,2023-02-16,2023-02-17,8699.97,Equipamentos
30,Fornecedor_1,2023-11-10,2023-11-27,2023-11-25,46758.13,Equipamentos
31,Fornecedor_18,2023-01-02,2023-01-11,2023-01-16,14390.22,Tecnologia
32,Fornecedor_7,2023-11-13,2023-12-01,2023-11-30,31683.82,Equipamentos
33,Fornecedor_19,2023-07-29,2023-08-11,2023-08-12,47092.11,Medicamentos
34,Fornecedor_11,2023-09-22,2023-09-30,2023-09-30,27559.57,Equipamentos
35,Fornecedor_3,2023-08-05,2023-08-15,2023-08-14,13526.48,Equipamentos
36,Fornecedor_5,2023-05-22,2023-05-29,2023-06-02,32224.73,Equipamentos
37,Fornecedor_18,2023-04-26,2023-05-01,2023-04-30,39358.44,Equipamentos
38,Fornecedor_17,2023-05-02,2023-05-14,2023-05-14,31060.26,Medicamentos
39,Fornecedor_17,2023-01-31,2023-02-13,2023-02-19,40350.7,Medicamentos
40,Fornecedor_20,2023-03-13,2023-03-19,2023-03-18,2570.78,Equipamentos
41,Fornecedor_3,2023-02-19,2023-02-28,2023-02-26,31717.74,Insumos
42,Fornecedor_6,2023-11-10,2023-11-21,2023-11-20,19754.11,Medicamentos
43,Fornecedor_10,2023-01-04,2023-01-10,2023-01-10,13974.19,Tecnologia
44,Fornecedor_14,2023-10-08,2023-10-22,2023-10-24,14010.12,Medicamentos
45,Fornecedor_13,2023-02-13,2023-02-21,2023-02-27,26921.55,Tecnologia
46,Fornecedor_8,2023-03-18,2023-04-06,2023-04-12,25397.33,Insumos
47,Fornecedor_5,2023-01-27,2023-02-04,2023-02-02,31722.24,Insumos
48,Fornecedor_8,2023-11-05,2023-11-29,2023-11-27,11513.08,Insumos
49,Fornecedor_10,2023-12-03,2023-12-21,2023-12-22,27698.28,Tecnologia
50,Fornecedor_19,2023-04-20,2023-05-14,2023-05-13,32252.78,Insumos
51,Fornecedor_14,2023-10-25,2023-11-03,2023-11-01,36706.76,Equipamentos
52,Fornecedor_18,2023-01-16,2023-02-05,2023-02-10,36708.48,Equipamentos
53,Fornecedor_14,2023-03-06,2023-03-22,2023-03-21,25212.41,Insumos
54,Fornecedor_6,2023-07-16,2023-07-25,2023-07-28,21030.21,Equipamentos
55,Fornecedor_15,2023-01-26,2023-02-12,2023-02-10,5349.73,Medicamentos
56,Fornecedor_11,2023-08-15,2023-08-26,2023-08-26,20976.82,Tecnologia
57,Fornecedor_10,2023-10-10,2023-11-03,2023-11-07,26763.06,Tecnologia
58,Fornecedor_2,2023-06-03,2023-06-24,2023-06-24,12588.52,Medicamentos
59,Fornecedor_4,2023-04-15,2023-05-05,2023-05-04,18058.07,Tecnologia
60,Fornecedor_8,2023-01-23,2023-02-01,2023-01-31,7098.91,Tecnologia
61,Fornecedor_8,2023-09-23,2023-10-08,2023-10-06,46893.62,Tecnologia
62,Fornecedor_10,2023-07-15,2023-07-26,2023-07-24,48697.64,Equipamentos
63,Fornecedor_14,2023-05-07,2023-05-16,2023-05-22,36765.42,Equipamentos
64,Fornecedor_1,2023-10-07,2023-10-15,2023-10-19,28498.68,Insumos
65,Fornecedor_17,2023-12-23,2023-12-28,2023-12-30,29507.56,Tecnologia
66,Fornecedor_14,2023-06-05,2023-06-16,2023-06-14,22194.23,Medicamentos
67,Fornecedor_14,2023-11-10,2023-12-03,2023-12-03,47769.19,Insumos
68,Fornecedor_20,2023-03-25,2023-04-08,2023-04-12,19234.35,Tecnologia
69,Fornecedor_3,2023-06-16,2023-07-09,2023-07-09,36756.07,Equipamentos
70,Fornecedor_2,2023-05-17,2023-06-07,2023-06-06,44149.89,Insumos
71,Fornecedor_12,2023-10-16,2023-10-31,2023-10-30,20991.12,Medicamentos
72,Fornecedor_13,2023-09-24,2023-10-16,2023-10-16,12164.96,Insumos
73,Fornecedor_2,2023-10-07,2023-10-30,2023-11-05,33005.0,Equipamentos
74,Fornecedor_17,2023-05-24,2023-05-29,2023-05-28,35932.34,Medicamentos
75,Fornecedor_6,2023-08-28,2023-09-08,2023-09-14,39504.96,Equipamentos
76,Fornecedor_19,2023-03-29,2023-04-16,2023-04-15,20004.72,Medicamentos
77,Fornecedor_4,2023-10-09,2023-10-14,2023-10-12,41038.1,Tecnologia
