OF_id,fornecedor,data_emissao,prazo_entrega,data_entrega_real,valor,categoria,dias_prazo,dias_para_vencer,dias_entrega_real,valor_log,atraso,taxa_atraso_fornecedor,total_of_fornecedor,valor_medio_fornecedor,risk_score,prioridade
1,Fornecedor_3,2023-02-07,2023-02-21,2023-02-19,17848.33,Medicamentos,14,-1194,12,9.789721251489324,0,0.24444444444444444,45,23814.126444444442,0.21138735245507845,Baixa
2,Fornecedor_1,2023-08-24,2023-09-02,2023-09-01,45541.23,Equipamentos,9,-1001,8,10.726395306359112,0,0.39215686274509803,51,26938.735098039215,0.4234731628758105,Média
3,Fornecedor_18,2023-03-14,2023-03-27,2023-04-01,19628.34,Tecnologia,13,-1160,18,9.884780664698143,1,0.3409090909090909,44,23445.405000000002,0.36750373246738155,Baixa
4,Fornecedor_5,2023-09-13,2023-10-06,2023-10-09,34143.04,Insumos,23,-967,26,10.438343325609697,1,0.41304347826086957,46,26724.331521739132,0.6353859405513066,Média
5,Fornecedor_1,2023-07-23,2023-08-07,2023-08-06,42949.85,Medicamentos,15,-1027,14,10.66781171767059,0,0.39215686274509803,51,26938.735098039215,0.2654009326756939,Baixa
6,Fornecedor_19,2023-05-14,2023-05-22,2023-05-21,34779.53,Equipamentos,8,-1104,7,10.456813026435066,0,0.3793103448275862,58,30085.888275862068,0.1987078605192937,Baixa
7,Fornecedor_1,2023-12-02,2023-12-21,2023-12-21,9905.22,Insumos,19,-891,19,9.200918121663939,0,0.39215686274509803,51,26938.735098039215,0.29783636298061433,Baixa
8,Fornecedor_20,2023-05-25,2023-06-10,2023-06-08,37613.1,Equipamentos,16,-1085,14,10.535134259083058,0,0.3220338983050847,59,21740.94559322034,0.44279094687907,Média
9,Fornecedor_9,2023-05-10,2023-05-24,2023-05-25,3615.62,Insumos,14,-1102,15,8.193295166991442,1,0.22727272727272727,44,26572.065454545453,0.6371188155430708,Média
10,Fornecedor_8,2023-03-13,2023-03-28,2023-03-26,38728.83,Equipamentos,15,-1159,13,10.564365383136913,0,0.3269230769230769,52,28221.404230769233,0.309748385379433,Baixa
11,Fornecedor_17,2023-08-26,2023-09-02,2023-09-02,40950.44,Insumos,7,-1001,7,10.620142253498113,0,0.37037037037037035,54,25592.20962962963,0.28297209937181056,Baixa
12,Fornecedor_6,2023-10-09,2023-10-25,2023-10-24,6188.12,Insumos,16,-948,15,8.730548190790365,0,0.28888888888888886,45,26625.86022222222,0.06554110045208432,Baixa
13,Fornecedor_14,2023-06-28,2023-07-19,2023-07-18,44995.0,Insumos,21,-1046,20,10.714328875912717,0,0.3404255319148936,47,27536.185319148935,0.20671946344719114,Baixa
14,Fornecedor_5,2023-10-04,2023-10-22,2023-10-21,34496.86,Equipamentos,18,-951,17,10.448652572110067,0,0.41304347826086957,46,26724.331521739132,0.3143851097672517,Baixa
15,Fornecedor_8,2023-09-12,2023-09-27,2023-09-27,31083.03,Equipamentos,15,-976,15,10.34444946145542,0,0.3269230769230769,52,28221.404230769233,0.1722289226721024,Baixa
16,Fornecedor_10,2023-12-24,2024-01-01,2024-01-06,48648.6,Insumos,8,-880,13,10.792398865586517,1,0.34545454545454546,55,25275.839636363635,0.7245870511816231,Alta
17,Fornecedor_20,2023-09-10,2023-09-26,2023-09-28,33537.94,Equipamentos,16,-977,18,10.420462430822921,1,0.3220338983050847,59,21740.94559322034,0.5242256220479188,Média
18,Fornecedor_5,2023-06-06,2023-06-21,2023-06-26,19489.54,Equipamentos,15,-1074,20,9.87768449863395,1,0.41304347826086957,46,26724.331521739132,0.4275058203688254,Média
19,Fornecedor_11,2023-02-20,2023-02-27,2023-02-27,24402.36,Medicamentos,7,-1188,7,10.102476106718875,0,0.125,48,25942.747083333335,0.07426438313412627,Baixa
20,Fornecedor_20,2023-03-10,2023-03-27,2023-03-25,10122.28,Insumos,17,-1160,15,9.222593001000876,0,0.3220338983050847,59,21740.94559322034,0.2754765349588194,Baixa
21,Fornecedor_12,2023-08-04,2023-08-19,2023-08-19,17527.0,Tecnologia,15,-1015,15,9.771554881275302,0,0.20512820512820512,39,27436.36,0.23262905038520945,Baixa
22,Fornecedor_19,2023-08-30,2023-09-22,2023-09-27,46523.89,Tecnologia,23,-981,28,10.747742717187398,1,0.3793103448275862,58,30085.888275862068,0.708640369374318,Alta
23,Fornecedor_13,2023-12-19,2024-01-01,2023-12-31,31704.56,Equipamentos,13,-880,12,10.364247338807353,0,0.2786885245901639,61,27560.733770491803,0.22003457394317052,Baixa
24,Fornecedor_17,2023-03-28,2023-04-02,2023-04-06,13350.54,Tecnologia,5,-1154,9,9.49938701298067,1,0.37037037037037035,54,25592.20962962963,0.6476797676561582,Média
25,Fornecedor_13,2023-05-22,2023-06-09,2023-06-13,35235.89,Equipamentos,18,-1086,22,10.4698488241693,1,0.2786885245901639,61,27560.733770491803,0.6017316843024777,Média
26,Fornecedor_3,2023-01-08,2023-01-31,2023-01-31,15708.09,Insumos,23,-1215,23,9.66199480468335,0,0.24444444444444444,45,23814.126444444442,0.13155230970292378,Baixa
27,Fornecedor_1,2023-11-16,2023-11-27,2023-11-27,33306.52,Medicamentos,11,-915,11,10.413538476299546,0,0.39215686274509803,51,26938.735098039215,0.30182144687648277,Baixa
28,Fornecedor_4,2023-11-14,2023-11-30,2023-12-02,17799.01,Medicamentos,16,-912,18,9.786954298077772,1,0.32,50,24059.582799999996,0.6348115316220682,Média
29,Fornecedor_15,2023-01-23,2023-02-16,2023-02-17,8699.97,Equipamentos,24,-1199,25,9.071189792680526,1,0.34615384615384615,52,27936.5375,0.6519726146796291,Média
30,Fornecedor_1,2023-11-10,2023-11-27,2023-11-25,46758.13,Equipamentos,17,-915,15,10.752764809767067,0,0.39215686274509803,51,26938.735098039215,0.30477873963568963,Baixa
31,Fornecedor_18,2023-01-02,2023-01-11,2023-01-16,14390.22,Tecnologia,9,-1235,14,9.574373577385684,1,0.3409090909090909,44,23445.405000000002,0.6305556092437828,Média
32,Fornecedor_7,2023-11-13,2023-12-01,2023-11-30,31683.82,Equipamentos,18,-911,17,10.36359298081991,0,0.3269230769230769,52,26954.52903846154,0.41223913711801224,Média
33,Fornecedor_19,2023-07-29,2023-08-11,2023-08-12,47092.11,Medicamentos,13,-1023,14,10.759881984802826,1,0.3793103448275862,58,30085.888275862068,0.5402227650579496,Média
34,Fornecedor_11,2023-09-22,2023-09-30,2023-09-30,27559.57,Equipamentos,8,-973,8,10.224141407061763,0,0.125,48,25942.747083333335,0.11790443962525989,Baixa
35,Fornecedor_3,2023-08-05,2023-08-15,2023-08-14,13526.48,Equipamentos,10,-1019,9,9.512478451046013,0,0.24444444444444444,45,23814.126444444442,0.32031177662214055,Baixa
36,Fornecedor_5,2023-05-22,2023-05-29,2023-06-02,32224.73,Equipamentos,7,-1097,11,10.380520480770357,1,0.41304347826086957,46,26724.331521739132,0.6955296374974204,Alta
37,Fornecedor_18,2023-04-26,2023-05-01,2023-04-30,39358.44,Equipamentos,5,-1125,4,10.5804911234227,0,0.3409090909090909,44,23445.405000000002,0.4318943580336405,Média
38,Fornecedor_17,2023-05-02,2023-05-14,2023-05-14,31060.26,Medicamentos,12,-1112,12,10.343716662525077,0,0.37037037037037035,54,25592.20962962963,0.17645272808586723,Baixa
39,Fornecedor_17,2023-01-31,2023-02-13,2023-02-19,40350.7,Medicamentos,13,-1202,19,10.605388804161276,1,0.37037037037037035,54,25592.20962962963,0.655752686734309,Média
